date,base,symbol,rate
2025-07-18,USD,BRL,5.5536
2025-07-18,USD,EUR,0.85837
2025-07-18,USD,GBP,0.743
2025-07-18,USD,JPY,148.45
2025-07-18,USD,MXN,18.7202
2025-07-21,USD,BRL,5.5875
2025-07-21,USD,EUR,0.85712
2025-07-21,USD,GBP,0.74192
2025-07-21,USD,JPY,147.44
2025-07-21,USD,MXN,18.6663
2025-07-22,USD,MXN,18.6563
2025-07-22,USD,JPY,147.17
2025-07-22,USD,BRL,5.5725
2025-07-22,USD,EUR,0.85477
2025-07-22,USD,GBP,0.74152
2025-07-23,USD,BRL,5.5687
2025-07-23,USD,EUR,0.85281
2025-07-23,USD,GBP,0.73896
2025-07-23,USD,JPY,146.28
2025-07-23,USD,MXN,18.6585
2025-07-24,USD,MXN,18.5616
2025-07-24,USD,JPY,146.5
2025-07-24,USD,BRL,5.5225
2025-07-24,USD,EUR,0.85063
2025-07-24,USD,GBP,0.73792
2025-07-25,USD,BRL,5.5235
2025-07-25,USD,EUR,0.85295
2025-07-25,USD,GBP,0.74335
2025-07-25,USD,JPY,147.65
2025-07-25,USD,MXN,18.5645
2025-07-28,USD,MXN,18.6322
2025-07-28,USD,JPY,148.15
2025-07-28,USD,GBP,0.74472
2025-07-28,USD,BRL,5.579
2025-07-28,USD,EUR,0.85807
2025-07-29,USD,BRL,5.5935
2025-07-29,USD,EUR,0.86708
2025-07-29,USD,GBP,0.75002
2025-07-29,USD,JPY,148.77
2025-07-29,USD,MXN,18.8112
2025-07-30,USD,MXN,18.7551
2025-07-30,USD,JPY,148.31
2025-07-30,USD,BRL,5.5871
2025-07-30,USD,EUR,0.86753
2025-07-30,USD,GBP,0.74798
2025-07-31,USD,BRL,5.5826
2025-07-31,USD,EUR,0.87367
2025-07-31,USD,GBP,0.75564
2025-07-31,USD,JPY,149.85
2025-07-31,USD,MXN,18.824
2025-08-01,USD,MXN,18.9548
2025-08-01,USD,JPY,150.48
2025-08-01,USD,BRL,5.6234
2025-08-01,USD,EUR,0.87689
2025-08-01,USD,GBP,0.75982
2025-08-04,USD,BRL,5.536
2025-08-04,USD,EUR,0.86468
2025-08-04,USD,GBP,0.75262
2025-08-04,USD,JPY,147.38
2025-08-04,USD,MXN,18.8474
2025-08-05,USD,JPY,147.6
2025-08-05,USD,MXN,18.894
2025-08-05,USD,GBP,0.7529
2025-08-05,USD,BRL,5.5214
2025-08-05,USD,EUR,0.8661
2025-08-06,USD,BRL,5.5063
2025-08-06,USD,EUR,0.86177
2025-08-06,USD,GBP,0.75121
2025-08-06,USD,JPY,147.55
2025-08-06,USD,MXN,18.7349
2025-08-07,USD,MXN,18.6344
2025-08-07,USD,JPY,147.38
2025-08-07,USD,GBP,0.74491
2025-08-07,USD,BRL,5.461
2025-08-07,USD,EUR,0.85889
2025-08-08,USD,BRL,5.4281
2025-08-08,USD,EUR,0.85852
2025-08-08,USD,GBP,0.74442
2025-08-08,USD,JPY,147.82
2025-08-08,USD,MXN,18.5998
2025-08-11,USD,MXN,18.619
2025-08-11,USD,JPY,147.87
2025-08-11,USD,BRL,5.4463
2025-08-11,USD,EUR,0.86044
2025-08-11,USD,GBP,0.74479
2025-08-12,USD,BRL,5.4382
2025-08-12,USD,EUR,0.86162
2025-08-12,USD,GBP,0.74281
2025-08-12,USD,JPY,148.46
2025-08-12,USD,MXN,18.674
2025-08-13,USD,BRL,5.3905
2025-08-13,USD,EUR,0.8539
2025-08-13,USD,GBP,0.737
2025-08-13,USD,JPY,147.27
2025-08-13,USD,MXN,18.5407
2025-08-14,USD,BRL,5.3978
2025-08-14,USD,EUR,0.85543
2025-08-14,USD,GBP,0.73653
2025-08-14,USD,JPY,146.54
2025-08-14,USD,MXN,18.6843
2025-08-15,USD,MXN,18.7474
2025-08-15,USD,JPY,147.0
2025-08-15,USD,GBP,0.73768
2025-08-15,USD,BRL,5.401
2025-08-15,USD,EUR,0.85558
2025-08-18,USD,BRL,5.408
2025-08-18,USD,EUR,0.85668
2025-08-18,USD,GBP,0.73854
2025-08-18,USD,JPY,147.58
2025-08-18,USD,MXN,18.8126
2025-08-19,USD,MXN,18.7982
2025-08-19,USD,JPY,147.81
2025-08-19,USD,EUR,0.85602
2025-08-19,USD,BRL,5.4411
2025-08-19,USD,GBP,0.7396
2025-08-20,USD,BRL,5.4835
2025-08-20,USD,EUR,0.8583
2025-08-20,USD,GBP,0.742
2025-08-20,USD,JPY,147.43
2025-08-20,USD,MXN,18.7744
2025-08-21,USD,MXN,18.7576
2025-08-21,USD,JPY,147.86
2025-08-21,USD,GBP,0.74353
2025-08-21,USD,BRL,5.486
2025-08-21,USD,EUR,0.85918
2025-08-22,USD,BRL,5.4671
2025-08-22,USD,EUR,0.86147
2025-08-22,USD,GBP,0.74543
2025-08-22,USD,JPY,148.69
2025-08-22,USD,MXN,18.7216
2025-08-25,USD,MXN,18.639
2025-08-25,USD,JPY,147.35
2025-08-25,USD,BRL,5.4291
2025-08-25,USD,EUR,0.85492
2025-08-25,USD,GBP,0.74028
2025-08-26,USD,BRL,5.4043
2025-08-26,USD,EUR,0.85793
2025-08-26,USD,GBP,0.74142
2025-08-26,USD,JPY,147.37
2025-08-26,USD,MXN,18.6402
2025-08-27,USD,JPY,148.05
2025-08-27,USD,MXN,18.7294
2025-08-27,USD,GBP,0.74407
2025-08-27,USD,BRL,5.4387
2025-08-27,USD,EUR,0.86259
2025-08-28,USD,BRL,5.4083
2025-08-28,USD,EUR,0.85646
2025-08-28,USD,GBP,0.73972
2025-08-28,USD,JPY,146.87
2025-08-28,USD,MXN,18.6091
2025-08-29,USD,MXN,18.6945
2025-08-29,USD,JPY,147.3
2025-08-29,USD,GBP,0.74352
2025-08-29,USD,BRL,5.4257
2025-08-29,USD,EUR,0.85778
2025-09-01,USD,BRL,5.4278
2025-09-01,USD,EUR,0.85361
2025-09-01,USD,GBP,0.73939
2025-09-01,USD,JPY,147.22
2025-09-01,USD,MXN,18.6095
2025-09-02,USD,MXN,18.7816
2025-09-02,USD,JPY,148.63
2025-09-02,USD,GBP,0.74721
2025-09-02,USD,EUR,0.85866
2025-09-02,USD,BRL,5.4746
2025-09-03,USD,BRL,5.4535
2025-09-03,USD,EUR,0.85815
2025-09-03,USD,GBP,0.74547
2025-09-03,USD,JPY,148.61
2025-09-03,USD,MXN,18.7051
2025-09-04,USD,MXN,18.7714
2025-09-04,USD,JPY,148.33
2025-09-04,USD,GBP,0.7438
2025-09-04,USD,EUR,0.85859
2025-09-04,USD,BRL,5.4593
2025-09-05,USD,BRL,5.4253
2025-09-05,USD,EUR,0.85492
2025-09-05,USD,GBP,0.7419
2025-09-05,USD,JPY,147.98
2025-09-05,USD,MXN,18.6817
2025-09-08,USD,MXN,18.6596
2025-09-08,USD,JPY,147.84
2025-09-08,USD,GBP,0.73917
2025-09-08,USD,EUR,0.85266
2025-09-08,USD,BRL,5.4059
2025-09-09,USD,BRL,5.4211
2025-09-09,USD,EUR,0.8515
2025-09-09,USD,GBP,0.73765
2025-09-09,USD,JPY,146.76
2025-09-09,USD,MXN,18.6248
2025-09-10,USD,MXN,18.6273
2025-09-10,USD,JPY,147.49
2025-09-10,USD,GBP,0.73887
2025-09-10,USD,EUR,0.85419
2025-09-10,USD,BRL,5.4311
2025-09-11,USD,BRL,5.4171
2025-09-11,USD,EUR,0.8558
2025-09-11,USD,GBP,0.74001
2025-09-11,USD,JPY,147.95
2025-09-11,USD,MXN,18.6401
2025-09-12,USD,MXN,18.4878
2025-09-12,USD,JPY,147.92
2025-09-12,USD,GBP,0.73844
2025-09-12,USD,EUR,0.85339
2025-09-12,USD,BRL,5.3985
2025-09-15,USD,BRL,5.3348
2025-09-15,USD,EUR,0.84991
2025-09-15,USD,GBP,0.7344
2025-09-15,USD,JPY,147.36
2025-09-15,USD,MXN,18.4158
2025-09-16,USD,MXN,18.3493
2025-09-16,USD,JPY,146.99
2025-09-16,USD,GBP,0.73312
2025-09-16,USD,EUR,0.84696
2025-09-16,USD,BRL,5.3095
2025-09-17,USD,BRL,5.2981
2025-09-17,USD,EUR,0.84481
2025-09-17,USD,GBP,0.73287
2025-09-17,USD,JPY,146.39
2025-09-17,USD,MXN,18.2926
2025-09-18,USD,MXN,18.2307
2025-09-18,USD,JPY,147.44
